,page,jumlah_peserta_skb,jumlah_formasi,jumlah_metode_skb,peserta_total,peserta_hadir,peserta_th,hasil_tl,hasil_tms,hasil_tms-1,hasil_aps,lulus_akhir,sisa_formasi,tms1_terbaik,kode_jabatan,jabatan,kode_lokasi,lokasi_formasi,jenis_formasi,pendidikan
384,12507,2,2,0,2,2,0,0,0,2,0,0,2,2,JFDO50002,ASISTEN AHLI,30102054,2054. POLITEKNIK NEGERI BENGKALIS JURUSAN TEKNIK INFORMATIKA ,U - UMUM 2,(7199368) S-2 TEKNIK INFORMATIKA DAN KOMPUTER
385,12534,3,5,0,3,3,0,0,0,1,0,2,3,1,JFDO50002,ASISTEN AHLI,30102593,2593. POLITEKNIK NEGERI SRIWIJAYA JURUSAN TEKNIK ELEKTRO ,U - UMUM 5,"(7102172) S-2 TEKNIK ELEKTRO / (9501311) S-2 TEKNIK ENERGI
TERBARUKAN"
386,12537,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102593,2593. POLITEKNIK NEGERI SRIWIJAYA JURUSAN TEKNIK ELEKTRO ,9 - LULUSAN TERBAIK 1,"(7102172) S-2 TEKNIK ELEKTRO / (9501311) S-2 TEKNIK ENERGI
TERBARUKAN"
387,12612,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30101653,1653. INSTITUT SENI INDONESIA SURAKARTA FAKULTAS SENI RUPA DAN DESAIN ,U - UMUM 1,"(7100172) S-2 KOMUNIKASI / (7100240) S-2 PENCIPTAAN SENI / (7100676) S-
2 KAJIAN BUDAYA DAN MEDIA / (7199674) S-2 PENCIPTAAN DAN
PENGKAJIAN SENI"
388,12620,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30104421,4421. UNIVERSITAS NEGERI MEDAN FAKULTAS BAHASA DAN SENI ,U - UMUM 2,(9501024) S-2 PENCIPTAAN DAN PENGKAJIAN SENI KONSENTRASI TEATER
389,12657,4,4,0,4,4,0,0,0,1,0,3,1,1,JFDO50002,ASISTEN AHLI,30101764,1764. INSTITUT TEKNOLOGI KALIMANTAN JURUSAN TEKNOLOGI INDUSTRI DAN PROSES ,U - UMUM 4,"(7101227) S-2 TEKNIK PERTAMBANGAN / (7102172) S-2 TEKNIK ELEKTRO /
(7102710) S-2 KESEHATAN DAN KESELAMATAN KERJA / (7109103) S-2
TEKNIK SIPIL / (7110031) S-2 TEKNIK INDUSTRI / (7199215) S-2
MANAJEMEN BISNIS / (7199355) S-2 SISTEM INFORMASI / (9501165) S-2
REKAYASA KESELAMATAN / (9501322) S-2 TEKNIK INDUSTRI BIDANG
ERGONOMI DAN KESELAMATAN INDUSTRI / (9501323) S-2 TEKNIK
INDUSTRI BIDANG ERGONOMI KOGNITIF / (9501339) S-2 TEKNIK
KESELAMATAN DAN KESEHATAN KERJA / (9501341) S-2 TEKNIK KIMIA
BIDANG KESELAMATAN KERJA / (9501349) S-2 TEKNIK LOGISTIK BIDANG
KESELAMATAN KERJA"
390,12667,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105124,"5124. UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" YOGYAKARTA FAKULTAS TEKNOLOGI MINERAL ",U - UMUM 1,(7199220) S-2 GEOLOGI
391,12682,7,3,0,7,7,0,0,0,5,0,2,1,1,JFDO50002,ASISTEN AHLI,30106094,"6094. UNIVERSITAS TIMOR FAKULTAS PERTANIAN 3
",U - UMUM 3,"(7100504) S-2 ILMU PRODUKSI DAN TEKNOLOGI PETERNAKAN / (7106200)
S-2 ILMU PETERNAKAN"
392,12760,3,2,0,3,3,0,0,0,3,0,0,2,2,JFDO50002,ASISTEN AHLI,30105547,"5547. UNIVERSITAS SRIWIJAYA FAKULTAS PERTANIAN 2
",U - UMUM 2,(7106050) S-2 AGRONOMI
393,12870,9,3,0,9,9,0,0,0,7,0,2,1,1,JFDO50002,ASISTEN AHLI,30105249,5249. UNIVERSITAS RIAU FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,U - UMUM 3,(7101601) S-2 ILMU PEMERINTAHAN / (7192000) S-2 ILMU POLITIK
394,12879,2,3,0,2,2,0,0,0,1,0,1,2,1,JFDO50002,ASISTEN AHLI,30106078,"6078. UNIVERSITAS TIMOR FAKULTAS PERTANIAN 3
",U - UMUM 3,(7100370) S-2 SAINS VETERINER
395,12882,7,7,0,7,7,0,0,0,2,0,5,2,2,JFDO50002,ASISTEN AHLI,30105337,5337. UNIVERSITAS SAM RATULANGI FAKULTAS TEKNIK INFORMATIKA ,U - UMUM 7,(7100398) S-2 TEKNIK INFORMATIKA
396,13016,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105369,"5369. UNIVERSITAS SAMUDRA FAKULTAS TEKNIK 1
",U - UMUM 1,(7100398) S-2 TEKNIK INFORMATIKA
397,13132,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30106040,6040. UNIVERSITAS TIMOR FAKULTAS EKONOMI DAN BISNIS ,U - UMUM 1,(7101002) S-2 MANAJEMEN KONSENTRASI MANAJEMEN SUMBERDAYA MAN
